benchmark	ablation	stem	key	status	reason	last_or_queue	cfg
textvqa	frequency_only	test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa	abl200-frequency-only-textvqa	DONE		V91NoCFAbl_frequency_only_SmolVLM2_2B_TextVQA_VAL_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_textvqa.json
textvqa	majority_vote	test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa	abl200-majority-vote-textvqa	DONE		V91NoCFAbl_majority_vote_SmolVLM2_2B_TextVQA_VAL_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_textvqa.json
textvqa	no_format	test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa	abl200-no-format-textvqa	DONE		V91NoCFAbl_no_format_SmolVLM2_2B_TextVQA_VAL_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_textvqa.json
textvqa	no_base_bias	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa	abl200-no-base-bias-textvqa	DONE		V91NoCFAbl_no_base_bias_SmolVLM2_2B_TextVQA_VAL_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_textvqa.json
textvqa	no_length_risk	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa	abl200-no-length-risk-textvqa	DONE		V91NoCFAbl_no_length_risk_SmolVLM2_2B_TextVQA_VAL_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_textvqa.json
ocrvqa	frequency_only	test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa	abl200-frequency-only-ocrvqa	DONE		V91NoCFAbl_frequency_only_SmolVLM2_2B_OCRVQA_TEST_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_frequency_only_ocrvqa.json
ocrvqa	majority_vote	test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa	abl200-majority-vote-ocrvqa	NOT_DONE	CUDA_BUSY	abl200-majority-vote-ocrvqa-r9-7715546.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_majority_vote_ocrvqa.json
ocrvqa	no_format	test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa	abl200-no-format-ocrvqa	DONE		V91NoCFAbl_no_format_SmolVLM2_2B_OCRVQA_TEST_acc.csv	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_format_ocrvqa.json
ocrvqa	no_base_bias	test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa	abl200-no-base-bias-ocrvqa	NOT_DONE	CUDA_BUSY	abl200-no-base-bias-ocrvqa-r9-7715547.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_base_bias_ocrvqa.json
ocrvqa	no_length_risk	test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa	abl200-no-length-risk-ocrvqa	NOT_DONE	CUDA_BUSY	abl200-no-length-risk-ocrvqa-r9-7715548.err	paper_neurips2026_artifacts/configs/ablation_configs/test_config_smolvlm2_v91_nocf_ablation_no_length_risk_ocrvqa.json
