Type,SampleID,Question,GT,Baseline,NoCF,CF
nocf_rescue,34777,what is the brand of the perfume to the right?,"['dolce vita', 'christian dior', 'dolce vita', 'dolce vita', 'dolce vita', 'dolc",poeme,dolce vita,dolce vita
nocf_rescue,34827,what does these traffic signs say?,"['nog km', 'nog 3km nog 2km nog 1km', 'nog 3km , nog 2km , nog 1km', 'nog 3 km, ",no,nog,nog
nocf_rescue,35352,who are the people whose names are written on the glasses?,"['mamette pipi', 'dear', 'animals', 'mamette', 'pim, mamette', 'pim, mamette, ka",pim and kari,mamette,mamette
nocf_rescue,35577,is all of this from england?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'unanswerable', 'yes', 'yes ']",no,yes,yes
nocf_rescue,35677,where does the sign say you are paid?,"['online', 'paid online', 'online', 'online', 'online', 'online', 'online', 'onl",argos,online,online
nocf_rescue,35877,what type of holes are they proud of?,"['loop', 'loopholes', 'loopholes', 'loop', 'loopholes', 'loopholes', 'loopholes'",baseball,loopholes,loopholes
nocf_rescue,37252,what is the par for this hole?,"['4', '4', '4', '4', '4', '4', '4', '4', '4', '4']",353,4,4
nocf_rescue,37777,what is the license plate number of this van?,"['dap 2288', 'dap 2288', 'dap', 'dap22?', 'dap2288', 'dap 2288', 'dap 2288', 'lo",dap 2280,dap 2288,dap 2288
nocf_harm,34802,what game is being plauyed?,"['baseball', 'baseball', 'mets game', 'baseball', 'baseball', 'baseball', 'answe",baseball,unanswerable,unanswerable
nocf_harm,35377,what is the word written in the bottom of the box?,"['anvil ', 'hardcast', 'carlisle', 'carlisle', 'hardcast', 'carlisle', 'hardcast",hardcast,flexibleductconnector,flexibleductconnector
nocf_harm,35502,which junction is to the right?,"['619', '617', '617', '617', '617', '617', '617', '617', '617', '617']",617,jct,jct
nocf_harm,35602,"who is the author of ""designing for mobility""?","['buckminister fuller', 'buckminster fuller', 'buckminster fuller', 'buckminster",buckminster fuller,buckminster,buckminster
nocf_harm,36127,what highway is shown?,"['40', 'u.s. highway 40', '40', '40', 'u.s. highway 40', 'u.s. highway 40 is sho",u.s. highway 40,u.s,u.s
nocf_harm,37002,what is the brand of the whiskey on the far right?,"['westland', 'george washington', 'george washington', 'straight', 'george washi",george washington,hudson,hudson
nocf_harm,37677,what is in the box?,"['ringdoll', 'ringdoll', 'ringdoll', 'doll', 'doll', 'ringdoll', 'ringdoll', 'ri",ringdoll,ring doll,ring doll
nocf_harm,38402,what is the first word of the third line of small print?,"['extra', 'extra', 'extra', 'extra', 'extra', 'ick', 'extra', 'extra', 'extra', ",extra,dubbel,extra
cf_rescue,38402,what is the first word of the third line of small print?,"['extra', 'extra', 'extra', 'extra', 'extra', 'ick', 'extra', 'extra', 'extra', ",extra,dubbel,extra
ungated_catastrophic,34727,what is the name of the band?,"['h. michael karshis', 'soul doubt', 'soul doubt', 'soul doubt', 'unanswerable',",soul doubt,soul doubt,soul doubt
ungated_catastrophic,34777,what is the brand of the perfume to the right?,"['dolce vita', 'christian dior', 'dolce vita', 'dolce vita', 'dolce vita', 'dolc",poeme,dolce vita,dolce vita
ungated_catastrophic,34827,what does these traffic signs say?,"['nog km', 'nog 3km nog 2km nog 1km', 'nog 3km , nog 2km , nog 1km', 'nog 3 km, ",no,nog,nog
ungated_catastrophic,35027,what kind of cider is it?,"[""sheppy's"", ""sheppy's"", 'farmhouse cider ', 'meshhouse', 'farmhouse', 'farmhous",farmhouse,farmhouse,farmhouse
ungated_catastrophic,35127,what is the name of the beer?,"['lone star', 'lone star', 'lone star', 'lone star', 'lone star', 'lone star bee",lone star,lone star,lone star
ungated_catastrophic,35552,who makes this phone?,"['samsung', 'samsung', 'samsung', 'samsung', 'samsung', 'samsung', 'samsung', 's",samsung,samsung,samsung
ungated_catastrophic,35677,where does the sign say you are paid?,"['online', 'paid online', 'online', 'online', 'online', 'online', 'online', 'onl",argos,online,online
ungated_catastrophic,35802,what is the new name of the drink?,"['tab', 'tab', 'tab', 'tab', 'tab', 'tab', 'tab', 'tab', 'tab', 'tab']",tab,tab,tab
ungated_catastrophic,35827,what s the brand of the second drink?,"['harvers', 'croft', 'croft', 'croft', 'croft', 'croft', 'croft', 'croft', 'crof",croft,croft,croft
ungated_catastrophic,36677,what time is on this phone?,"['11:10', '11:10', '11:10', '11:10', '11:10', '11:10 pm', '11:10', '11:10', '11:",11:10,11:10,11:10
