method,benchmark,score,source_or_error
Self-Consistency,ocrbench,72.7,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_OCRBench.xlsx
Self-Consistency,gqa,7.6,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_GQA_TestDev_Balanced.xlsx
Self-Consistency,textvqa,72.3,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_TextVQA_VAL.xlsx
Self-Consistency,chartqa,74.8,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_ChartQA_TEST.xlsx
Self-Consistency,ocrvqa,12.0,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_OCRVQA_TEST.xlsx
Self-Consistency,ai2d,0.036,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_AI2D_TEST.xlsx
Self-Consistency,mme_rw,0.308,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_MME-RealWorld-Lite.xlsx
Self-Consistency,coco,21.21358824711453,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_COCO_VAL.xlsx
Self-Consistency,amber,72.73734719601826,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels_selfconsistency/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote/T20250912_Gab3feefc/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMajorityVote_AMBER.xlsx
Self-Selector,ocrbench,73.1,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_OCRBench.xlsx
Self-Selector,gqa,3.6999999999999997,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_GQA_TestDev_Balanced.xlsx
Self-Selector,textvqa,72.87,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_TextVQA_VAL.xlsx
Self-Selector,chartqa,70.89999999999999,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_ChartQA_TEST.xlsx
Self-Selector,ocrvqa,4.5,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_OCRVQA_TEST.xlsx
Self-Selector,ai2d,0.666,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_AI2D_TEST.xlsx
Self-Selector,mme_rw,0.296,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_MME-RealWorld-Lite.xlsx
Self-Selector,coco,12.96465718666596,<ANON_ROOT>/peking/smolvlm2_paper/ets_clean/benchmark_results/n_samples_1000/exp_83_8augcount_newdatasets_finalized_answerlevels/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector/T20250824_G3e3672d7/TTAugAdapter_SmolVLM2_2B_8_AnswerLevelGreedyMLLMSelector_COCO_VAL.xlsx
